Request,Response
Nyine nyerekanzaze mfite ahunda,Nayo nyifite kbs
Eeeee ubwo nawe wari wapostinze,Yeg nyine
ushaka gutwika,Hoya man Ama pic narayasibye ark nkorera
Downtown,"Hhhhhhh gxr, uzafotore ayandi"
Ntrb,sw
None,yoooo kpo ngo gute x
Nez,ndabo na watangiye vac
Rekrk,eeee kukubera
Ni kare,444
Vp,Amkr x
Ni flex kbs,eeeee boi amkr x shaaii pax wamusizehe x
N flex kbs,Pax ar skl ahangayik
eeeee urajyayo x mn,Rkrk nzajyay vac
eeee mn  eee kd barataha ejo harya,Yego
boro zange aracyazifite x,Yego
okey ntrb,None
,Vp
"mrn boi, amkr x shaii",No flx kbs woec
kubera iki x boi,Icyx
nange mezeneza nrb 2,Na boro zae icyenyereyeh
ngewe x wp wp,Umv yew
nukuri,Saw nyn ya wiz khalifa
nayo nacyuye mn,Gxree
ahhhh kondumwere,Gxr
nukuri,None
nawe wacyuye byinci,Habe namba
gxr ndakuzi,Wllh
nukabeshye,Sawa
nukuri siwabura ibyangwe,Serie
ajhhh tuzabishaka thrid tam,Cyne kbs
nukubemeza bikabarenga 2,Peee
nugutwika,Kbs
Ark woe uhor utwik,wp shaaii gute x
Woec nawamu Petit wiwanyu,eeeee birenze nukutwicyira
Hhhh,oe ubura icyi
Icyizere cy kudafatw,eeeeeee sw nyine
Cyaramburanye kbs,Uzaze nkwereke
Unyerk icy,Uburyo babona icyizere
Hhhh,Gxr
Eeeee sw,Gute nyin
uzabibona kbx,Noeh ni Udu triningi gusa
eeeee birenze,Erega Ndakwemera
nange kbx,Ntrb brd men
okay boi,None
Ayoo,umvase mn pax muravugana
Nta phone agira,kko x mn
Yego,
Vpx shn,eeee igusambo gute x
Shn,Gxr
Ahubwo woe,eeeee dukore amafoto yibyabandi mn
Ntrb,Banzaaaa
eeeeee ndakwereka ejo cg mukanya,Ntrb
Rekanjy ahantu turahuz,"oky, slm kpo"
Flx,kbx kanze ntangire sho
Hhhhh,None
Vp,eeeee siwanyemeje x
Icyix klv,Dior yange siwanze kunda bura x mn
Ni cerdrick,wanze kumbwira acyiyi fite x
"t snitch broo""",Nkuk nanjy wamish vans zanjy noe nkaba nzitahanye
"eeeeer urishua oky bro tubireke, nge natsindiye byinci bitantera umuturumba nkawe",Ntcy bitwaye
Gusa mn biriya nabirenze x gusa niba narakubabaje mbabarira kbx byose tubyiyibagize kbx umuhungu nemera,Ntrbii blood
Ok nrb mn,Noec wandatiye
imyenda x,Yegooo
kanze nzabifotora ejo,Gxr. Woe Ni ejo ejo
Yewe,Eeeee kamfotore mn
Siwumvax,"umuhungu, None"
Cyzzzeee,Izo nb x niz kimomo
igo mn naramwemeje,Hhh
Ryarc koyar azifit,cyera mn
Eeeeh oghee,None
Iyo kabutura niy alain,eeeee kbx umuhungu nuko nayigize brack
Eeefoo Hanyumax Ya Radio ya Fab,"ntayo pfite yasintayitwaye, ark ubundi ushaka icyi kko mn kubera iki urikubimbaza"
Wapi tuh,"ubundi ko ndikukubaz ibyo nzi"""
eeeee nrb vans,Yo nkikenyereho
mn radio nago aringewayijyanye,Eeeeh
Shn Arik siwoe waneje Clement,"ahubwo nioe, Hhhhh wp mn"
Shn mwn Fab Ndamutiny,Mwn
kubera iki x,Yakurogesh gxr
eeee harya,Foo
yatwica,Uriy nimubi
Ark nge nabirenze,Woec ko uri mubi
Nange nabarogesha nzakagukorere x,Kubr
Nacyoda,Cyzee Mhn Uzi hane uzarek kwiba
Woe x kanyoko waza biretse,Ark sinkabya nkawe
"Ark twese dukorabimwe kd umenyekobadufatakimwe, Banadufunga kimwe",Wapi gxr sibamfata nkawe
Ark ibihe bitangana,Kubera iki uzabaze wumve
Hhhh,Fuckaa
Ark muhanga arahirwa,Eeeee eeee bikomeye
Shn,Ndagasui
"Iki, Uba wantinye kd dukora bimwe",Shn uzabaze Nge Siniba
Ndakokora,Nange ziniba ndaheza
Hhhh,Urumva utande nze x
Eeeehee,Ex niyihe boro wibye nez ukavuga Ngo Tick
Niza ba juru zarizinyi cishije,Hhhh
Cyzee warahababariye ndakasui,Noe Kivumbi nae waramwemeje
"Birenze, Narakaraburije we na stana nditahira",Hhhh
eeeeee birenze,Cyzee Stana Yarakwishe
ee3e 4,Ogheee
mrng,Uoo
Yooo,Bmz gtx
nisaw mn amkr x,Nimeza mwn
Woex,Ark iyokabutura
Ni Iyange Naguze Gxr,Siyayind Yae
Eeee Niyange gusa thx,Knd warasaz nyigufotorerese klv
Eeeeee katurebe,Rekanz
"nrb, Slm kpo",Fresh
Amkr x,Niwa fresh ntrb
"Ase mn nta pax, None",Merci
mrng,Morning
Ngogute x,Fresh ntrb
Eeeee mn ngogute x,Flx cuz
Oe,Nange kbx
You are now connected on Messenger,Hlo
Hi,Hii
Amkrc,Hy
Kub utvgx,You are now connected on Messenger
You are now connected on Messenger,Hi
Holla,Hi
Mwiriwe Prefe,Yoo
Komera,Iminsi myinshi
Cyane kbsa,Prefet nkwisabir akantu
Ntakibazo,None
Mwiriwe,Komera
Ni Thierry S3C,Amakuru
Nimeza kbs,Amakuru Se Prefet Biracamo
You are now connected on Messenger,"None, Tsiyeri"
Vp,VIP bro
Vp,Kinda cyn
Hhhh,"Tsiyeri urangana cyn, Nanogusuhuza umuntu"
Gut,Urabyumva mwan
You are now connected on Messenger,You are now connected on Messenger
Hello,Hello
Umeze gute mushuti wanjye Thierry,Mezenez Woe
KO Wabuz,Ntago nabuze kbx
You are now connected on Messenger,Hy
Hw are you,Hy
Eh?hi,Hw ar u
Im good and you?,None
Thats great,t text me you
Really? My pleasure,Yeah
Hello,Ne?
"t speak korea""",Oh sorry
No I have Hard Accident,None
"Really?, Gws",Gws what mean
Get well soon,Gas have destroyed
Knife cut me,Aigoo take care always
Ooh my god ohhhhhhhoch,"m hurt"""
Take care ne,"m working homework"""
Then I hate Homework,Chatting
Hy,Hy
Hi,Ne
How are you,hi
hi,Hell
How are u,Im good and you?
Yeah,Hi
Yes?,You are busy
Not at all,Ok
None,"love Korea"""
Jinjia?,"t speaking korean"""
Oh..,Do you know Africa
Yes i do,I livs
"m sorry to write shit""",Oh its alright
Do you know Arsenal FC,No
Arsenal team found in England,Oh
You remember,Hi
Hi,You are now connected on Messenger
You are now connected on Messenger,Umusaz Vp
Flesh gii,Urikucyi
None,Boi ahax waruvuye kuyarira he
Chicago,"Ndunva umeze neza shia, Nge ko utandemerax boi"
Ndimukazi Kose,Uma Ifot Isa Nkaho Wegamye Kukinu Mbisoze Ngushyire Kuri Land Rover
"Reka ndebe ntrb, Mn ndabona na photo mfite negamye",Saw Uzayihig Man
Ntrb ghee,Ark Uzagashake Nujya Gukora Shot
Ex ubundi ni ngombwa iyo umuntu yegamye,Hoya Ntrb Woe Wanambwirindi Kuko Narongu Propoje
Ntrb,Ngaho Mbwir Woe Iyo Ushaka
Oe ntrb ndaguha pic uhitemo,Saw
Urayohohereza Ryari,"None, None, None, None, None, None, None, None, None, None, None, None, None, None, None"
None,"Mn na mbs mfite, Ndaza kuyireba ninzigura"
Ntrb,Ahubwo x ko utankoreye byabindi
Eeeh Ntarabyibagiwe Ark Man Mbwir Uko Ubishaka,Nkiyi
Iyis,Oe mn uzandebere ibyiza
Ntrb Ejo Uzabibona,"Ntrb mn, Oe uzabinkorere"
Ntrb,Sawa ghee
Ntrb,None
Nkorera niyindi ndebe x,Man Nabuze Icyo Nkorah
Ndigushyira of Ama Effect Nkabona Nah Arim Ark Woe Umbwiye Ukubishaka Nabikor,Hhhh
"Mn nkorera nkakantuvmagaze muri etaje, Cg inzu nziza, Ark iba murwanda",Man Iminsi Yagiye
Noneho bigutwara iminsi,Hoya Man Nsigaye Muze Bya 4
Ntrb ghee,Ok
Enock Vp Irungu Rimeze Nabi,"Nge niyakiriye mn, Ko utajya xkl"
Nanjye Nzajyayo Ejo,Nge nago ndamenya umunsi
Yg Ye Guma Wimongaze,Nonex shia uragirango bigende gute
Saw Boro Zae Uzabimenya,Ahubwo mari yo barahita bancakaza
Refe Uzi Aho Bazakwicaza Muri Ndagaswi,None
Ark nabirenze,None
Gusa ninirabu kbx,None
Ark nubundi nawe nago bazakujyana aho ushaka,None
Gxr andika,Mn Hehe Banjyana
Nyine bakakujyana kuri table udashaka,Yg ark Najyerajyeje
Imbere cyane,Hoy
Ahubwo mn chr yawe hariho abantu bangahe,Ngucyi
Chrt yawe nako,
Woec,Reka nze nkwereke screen short wirebere
Saw,None
Babiri Gusa Sha Man Twijyire Skull Pe Nabya Homme Ndagaswi,Kbx harabishye
Bya4,Ejo nugenda chrt yange azaba ari umwe uriho
Hhh Gafiringe Nyin Knd Man Twakijendeye Knd Salomn Tuzajyana,Nago noneho nawe aragenda
Yg,Nonex kintu waguze izige papa
Nabirenz,Ubu Ndagiye
Ndi Mumodoka,Ntrb mn oe genda uryoshye
um nbr zae,Na 4ne nagaze
ntrb,vp
Vp,Flx bro
K War wandiy sn pp,Nago nabikora brsk
Yh nonx noneh wabony phone,Nsigae mfite gatuche
nukambeshy,nkuhe nbrx uhamagare
Ntrb,0787681434
Mit nguhamagar,Ark banza unyibwire
Ni thierry,Sawa brsk
ntrb,Vp
Enoki Salm,"Flx boi, Kirigutex"
Kiri nez kapo,Gurax boi
Hhhh,Ndikunkoni
Ark nimukarire,Hhh
Wagiye urek umus,"Nonex oe ko urumukire ukaba uri kurira, Nkuhe akazi x"
Kamex,"Ark uyobewe ko nd CEO, One and only"
Hhhhh,"0782092, 766"
Saw bro,Ngah nyine gura akantu
Ubukene papa,Ark uhor urira
,?umbabarire kugutesha umwanya ndi Imana nkubera iki utampa umwanya kandi narakurinze nkuva ukivuka kandi nkaba naraguhaye numugisha ndashaka ko ubu butumwa bukwira nisi yose mbere ya saa sita zijoro nubikora nndagukorera ibitangaza 2 mubuzima kandi nnkufashe kubona ibyo ukeneye kandi iminsi nikurikira uzayibamo mumahoro ngaho ohereza nubu butumwa Ku bantu bawe muminota 10.
Nyine winesh umwany,Hhhh
Ibi nibik uba umerez,Niby amalon
Amalon gutx,nie wabimae
Azajy abyisomana,Hhh
Vp,Flx bro
Wabonye Phonex,Yahex shn
Uracyar Kunkoni nkanjye,Hhhh
Oex ko uryoshye,Ahhh
Ark nange sinakwiburira,Wabyihorey
Oex na 4ne ugira,Ntayo mn Barayinyibye
Ark umuntu wumugab bamwib 4ne,Hhhh
Gxreeeeeeee,Nabyuzi
Nabibwirw nikx,Mn
Yaratakaye,Ibyo mbizikubagore
Saw ntrb,Ghee wanjye
Hlo,Vp
Flx,Kotuburanyeh brsk
Simw mutansura x,Twese ko utadusura
"Mbaz, Wllh, Nang, Nzaza",Banza
Nzakwishyur Nange,Ex ubund Utuyh
"Gst, Bro",Eeh
Ndaft,Nag wahameny ndabiz
Uuh,Wikwihagararah
Gatsata,Sihoc
You are now connected on Messenger,Hello
Cyaz cuz,You are now connected on Messenger
Warunkueyem umutma knd nibya 2k21,Hhhhhhhhhhh mbangirang mbashitur2
Hhhh,Bib bikenw
Kbx ark araz vub2,Ryarii
Murin mins,Hello
hi,Hi
London hameze gute,Fresh
Ese X-BOX cg Ps  Aho birarenze,Byose birahendutse cyane cyane ps
Ps 5 yaraje,Njyewe nziko hari ps4
niko natwe wabonye ariko inshuti nziza,"None, Icyo ni igiciro cya ps4"
Uriya mu pt uri kuri profile yitwande,Harley Williams
Nuyu,Yego
Muraturanye,Nuwo dukinana football
Uzagaruka Mu Rwanda,Yego ariko sinzi umunsi
Ni vuba cg Ni kera,Sinzi 2
Uma akazina kumu beby mwiza uba fb wimyaka 10-13,Wumuzungu cg umunyarwanda
umva sha Umuzungu,Hhhhhhh nabo ariko ni mumenya nzajubwira
Hari abanyarwanda uzi ahongaho ujyujya gusura,Benshi cyane
What Ese Byagenze gute kugirango ujyeyo,Baziranye na papa
Uma picture zinzu yanyu,Mn imvura iri kugwa
Ntrb    ujyujya gusura abazungu mugakina play mukarya mugatembera kumagare,Wapi ahubwo baza kunsura
What navangura bagira,"Subizi ko nisanzura ku muntu uwari we wese, Ngira inshuti nyinshi mn, Wapi 2"
Ubwo ufite Igare Play,Yego
Ufite iyihe phone na Pc,Mfite iphone na pc yitwa Dell
Muri Pc ufitemo Izihe Game,Nazo yaruzuye
Ariko Burihose Hari wi-fi,Buri nzu ifite Wi-fi na password yayo
Reka nye guhaha no kugura me2u,None
ndagaruka nyuma yiminota 15 na Hakimu Agiye kuzakora icyareta,None
Hi,Hi
Umzt,Ongera
"Wapi, Nabyo nshaka",Ndakwinginze
"Kuberi kI ?, Fabregas is waving at you!",mamagara ndakwitaba
hi,Hi
The video chat ended.,"Ntago urikuvuga, Uba whatsp se mn abe ariho tuvuganira"
ahubwo uba skype,Yego
uma izina ryawe,nsubiza
"Fabregas Kalisa, Wowe witwa ngwiki?",itaba nyuma yumunota umwe
Hi,Hi
Ndagukumbuye mn,Hhhh
Kuseka mn,WiFi yarashize tuzavugana Skype WiFi mere yayivuze
Uze  kundabura,Ese  mn waranyibagiwe
Cg urikwiga,Hhhhhhhhhhjj
Ndakwikundira,"t have result"""
Nonese vp,"Poa, Uzi ukuntu bigora, Uziko byarutwa mugashaka ibyangombwa bisanzwe"
Nigahunda Mere sinzi,Nonese Arsenal London hameze gutex
Sorry,But I want a picture when you are watch live match on Emirates Stadium
Yes of course,Give me
Picture,Yes
I don t have,Umva yewe
Yime  iyariyoyose,None
Nguki Hakim Abase London Kuva ryari,"Wapi, Mn njyewe mu buzima bwanjye harubwo niyemera mn? Bwira"
Hoya mn Undi yarikuba ya Formats The First Friends then started create other Friends,Nuwabikubwiye ni ishyari
Hi,Hi
Umztx,Neza ubu ndi vac
Ntrb natwe,Umzt Kuwa 2 Tuzavugana Skype
Hi,Hi
None,Umztx
Fresh,Man Ndambiwe School
Irihe,ESB Fuckin Anmatet
Hhhhhh,Wigahe
Kwishuri,Enjoy Video Game
None,Man Nkunda Game kurusha Kurya Kuryama Gutembera
"Urijye se, None, Reba akantu shushanyije",Nikeza jya Skype
Vp,"Poa, Skype nayivanyemo bro"
Fabregas missed your video chat.,ese wakitabye messenger callcg mamagara
Narinagiye koga mvuye gukina football,mamagara
Ko wagiye se,ongera
None,None
Mn imbeho imereye nabi gufata phone mu ntoki byananiye koresha chat uzamamagare ejo,The video chat ended.
"Pes 2020, None, None",The video chat ended.
None,The video chat ended.
WANYITABY MAN,The video chat ended.
Fabregas missed your video chat.,Fabregas missed your video chat.
The video chat ended.,Fabregas missed your video chat.
Hi,Hi
Umztx,Corona gutr aho
Hi ni Thierry yancuti yae  ya Skype,"Hhhhhh, Uziko wagirango ni agakobwa"
Hhhhhh,Fabregas missed your call.
Hi,Hi
Tuburanyh,Ex mn  waranyibagiwe
Wapi,Nonese ko utansubiz
"Warakaye x?, None",hhhh hoy
My Friend How are you,"m fine thanks, How about you?"
Fine,"m bored"""
"I finish all mission Of Gta 3,San Andreas Mafia 2","m on free mode tomorrow I will call you mornig"""
None,Hhhhhh
"Did you play gt5, ??",Mama Connect me on his Hotspot but was At Job
I never played GTA 5 on my PC bcz Need To much Requirements,"Yesterday I played football in horrible pitch,"
What is Horrible Pitch,In kinyarwanda
Yes,Ikibuga giteye ubwoba(kibi)
OK thanks,Your PC can play GTA 5
You re welcome,Hhhhh
I don t have enough space,Thanks my friend
Space,Do you know Dell inspiron  mini Is my PC
"t know search""",Honestly... I don t like GTA
Why,I like it bcz I want to know whole world
I like sports games not rockstar,EA
One day I will bought PS4 or Xbox one series c,None
Keep going,Where are going
None,I cant play GIF on Free
Okay,You An Idea to came in Africa
"Mate I have no idea,",Okay
In Rwanda Is on 292,"Xbox or PS4, I ll buy it this year"
Your Luckiest Family,okay
Hey Call me now,mamgar
Fabregas missed your call.,The video chat ended.
Hey me Why you dont speak,hey bro why you dont talk
The video chat ended.,Fabregas missed your video chat.
The video chat ended.,Umvase Nyitaba Ngiye Guhindura settings
Fabregas missed your video chat.,Ariko sha ntago uziko ndi muri exam
Fabregas missed your video chat.,Fabregas missed your video chat.
Fabregas missed your video chat.,man Nitaba Ume 2min
The video chat ended.,Fabregas missed your video chat.
mn Vugana nanjye mn cyangwa Mn Mbimenye Mbireke,The video chat ended.
Fabregas missed your video chat.,Man Bonne Chance
Aikose Wamaye Pass Ku twucyi Twa England,Fabregas missed your video chat.
Fabregas missed your video chat.,Fabregas missed your video chat.
Hello,Hello
"None, Hello",Umzgtx
Ex Man Ni Exam Ituma Umera Utyo,Nguhamagare
Fabregas missed your video chat.,Hello
Hello,Fabregas missed your video chat.
Fabregas missed your video chat.,Hello Man
Fabregas missed your video chat.,Fabregas missed your video chat.
vp,Ark Mn Urangana
Fabregas missed your video chat.,Mamagar
Fabregas missed your video chat.,hey
None,Ark Man Urangan Gacez
"wapi mn, nzaguhampagare ryari x",Ejobundi Ndaguhamagara Bakambwira Ngo Uri Kuyindi Call
Fabregas missed your call.,Fabregas missed your call.
yego ndikuvugana na ntsinzi,None
Burimunsi Man,hoya
None Kobabimbwir Burimuns,sinzi impamvu
Ngah Mamagara Woe,ase sha ntago wiga
Hoy,Niga Ibicyi
warivuyemo se,Hoy
Woec,ndiga mn
Wamaye Amfot Yah,The video chat ended.
Ubu Nta Go Mama Yankonekise,Mbes Nta WIFi
okay,Ahubwo Woe Nyihere Utwo Dufoto
sinkunda kwifotoza kbsa,Amafoto Ya UK
hhhhhhhhh,Yg
"phone yanjye yarapfuye mn, ndi gukoresha laptop",Hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhbhhhhhhhhhhhhhhhhhhhhbhhbhbhhbhhhhhhhhhhhhhhhhhhhhhhhhhhhhhbhhhhhhbhbhbhhhhhhhhhhhhhhhhhh
Sorry Nanjye Narinararaburije Man,Nonex Man UK Trading News Nayah
turi muyindi lockdown mn,Urumva Twebwe School Zirih Mwebwe Lockdown
ariko ni 1 month gusa kandi turiga,Online Ark
wapi njya kwishuri,Ark Abandi Bo Ni Lockdown
yego,Ubundi Ubwose Na Racisms Ibipeti Byaho Bijyira
Nsubiz Cg Nimba Bikujena Duhindure Page,biyizanye nabikosora
Hhhhh,Sufata Umwana Wumwirabura Konshaka Ko Nguh Subwo Nicyi Naguha
ngo,Wahit Uswanyaguz Ukimanukir
ntakubeshye hano nta racism ihaba pe kandi njyewe sinkunda ni bintu byo kurwana,Hhh
Ndabyumv Mann,Ark Man Gay Ahongah  Nibensh
ndabanga shaho,Byihorere Man Binera Iseseme Byacyan
Uzukunu Putin Abang,ahubwo tubaveho
Cyn,Ahubwo Madona Man Nago Acyiri Animater
ndabizi,Oook Man Ufit Izih Game Kuri Pc
"nazo, iruzuye",Hah Birakz Ngutuy
Uturirirmbo,Bit
The Big Picture By Lil Baby,Nak Bit Molly Ka Desiigner
thanks,Dushak
okay ndaza kureba,Saw Nonese Umbwiyiki Woe
kiki x mana,Mbwir Nyin Nushak Undatir Ntrb Unyiryeh
hhhhhhhhhhh wapi byarananiye,Jyerajyez
wapi mn,Mbwir
Umva Utuy Muyih City,"ahubwo woe mbwira story zaho, Nottingham"
Story Zah,Aho Nis Saa 21:23
yego,Ok
ahubwo ko utaryama,Ndacyesh
Woec,akakanya wapi
Yg Ahubwo Madonna Yagarutse,Urabiz
"njyewe nkunda rap god ya eminem, wapi ntabyonarinzi",Eeh Seriously
Nayo Ndayemera Cg Changes Ya 2pac,Kutv
"okay, also real slim shaddy",What Shaddy
"t know""","t Know"""
I was telling you song i like called real slim shaddy by eminem,"t Know"""
check out,t Have Mbs I
"t Unlimited""",hhhhhhhhh
Is it Funny,You Know Good Night
See You Tomorrow,"enjoy, hhhh"
Enjoy What,night and sleep well
And You Bro,Morning
Nta Mbs,Fabregas missed your video chat.
Hey,hi
Nguhamagare,ntaribi
Itabe,Fabregas missed your video chat.
Fabregas missed your video chat.,Wanze Man Kwitaba Ngaho Woe Mamagara
Fabregas missed your video chat.,ndigukoresha laptop kandi hari utuntu ngiye gutunganya ndazakuguhamagara ni mugoroba
Ntrb,Hi
"Hi, How are you doing?, Mate",Long time
Yp,Nonx kowanyanz
Gutx,Waratwibagiwe
"Wapi mn, Mbanibereye kuri WhatsApp",Aha Warakize
Woe x,Rekrk
Ndikunkoni,Hey
Hi umztx bro,Hello
Hy,Yoooo bmz gtc
Um nbr za tsap yae,+447438503360
Yrw,Yo
Amkrc bro,Nimeza bro
You are now connected on Messenger,Yew
Yooo,Amakuru y imunsi
Ni flex,Ndagukumbuy mwn
"Hhhh nang ninde?, Aaaa ni thierry, Nange bruh",Bmz gtx fab
Ni saw wang,Oghee
woe x bro,Ni nez
Unsuye ryarix,hary utuye kckr
Eeeeh,"hehe ndagira nez next week nzakugweho, mpa numbr yaw"
Sport view kwa Kenny,0788451370
"0790134778, andi makur x",Ni nez ntrb ndashim imana
byiz,Oghee
Yoo,Vp
Pw,Ng bmz gt shine boy
"Woe, Fresh kbx",Cyz ibintu ni wanene
Harya urind,Gxr nyk
Thierry,Yinyamirambo
Mwigana,Gasamak bmz btx umuhungu
Gasamak ni so,"Sorry kbx, Vaka gutex"
Ni well kbs,Woec
"Nrb kbx, Urikury icyihe cyana muriyimitsi",Cyahec shn ntacy kbs
Woec,"Nibyishy kbsx, None, Uracyibona gut"
Eeeeeh cyzeee,Ndinaby nzakurangire
Ngahoc shn,"Tuzabipangir sxl, Ubunange mbimerey nab"
Ma amazina yatw ya fb,Vp umuhungu
Poer kbs,Tutaj gufat report
Rkrk njyew ndayifit,Wayifash gorob
Wapi naray printinz,Siwaj muri batanu bamberes
Fooo,You invited your friend to join Messenger.
Baguheby iki,Ni 7K gus tuh
Noec,Ni fresh kbs
Uherej muduk,Twahex
Ngo gutx,Shn ni flx kbs
Vak gutx,Nez kbx
Eeeee,okay shn pt
Umaz kubyimb,Gutx pt
"Hhhh, Ukonyin wllh",Gxr
Abez gus x,You are now connected on Messenger
Wakamaye,"None, umv x wampay kano kant br"
Akah,Xlm
Saw,Woec
Nang ni xw mn,Kbs
Hom nihe x,Kicukiro
Nge ni muhanga mn,Eeeh ndft
You are now connected on Messenger,Hy
How are you,Hy
Hi,How are you
Hy,Hy
A contact missed your call.,Hy
How are you,"m fine"""
How are you doing,Now
Hy,Bip
What wrong with you,Your hate me I know
None,None
None,None
None,Ho are you
Hi,hi
tell me,You are now connected on Messenger
Hy,None
How are you,"m fine"""
Ok,Why did u ask?
iLike a korean,Ohhh
Hmmmm,None
Hy,Ht
Hello,How are u
"m fine""",Ok
None,"m fine"""
How old are you,"m 15y/o"""
Ok,"m 12years"""
"m kid""",None
Hhmm and you,"m teenager"""
"m teenage""",Hy
Hy,How are you
Morning,"s afternoon, Here"""
OK,"s Afternoon"""
hi,Hy
You are now connected on Messenger,Hy
You are now connected on Messenger,You are now connected on Messenger
Hi,Yoo
You are now connected on Messenger,Hy
You are now connected on Messenger,Hy
Hy,You are now connected on Messenger
Hy,Hy
You are now connected on Messenger,You are now connected on Messenger
By,Hy
Hy,Hy
How are you,Hey
Tell me,Im fine
Ok chatting,Hy
How are you,Tell me
You are now connected on Messenger,You are now connected on Messenger
Hy,Hy
You are now connected on Messenger,Hy
How are you,Hy
hi,How are you
"m fine""",Ok
Now in chat have my problem,You are now connected on Messenger
Hi,hi
How are you,You are now connected on Messenger
Hello,None
None,You are now connected on Messenger
"Hi good aftermoon bbe, do you want me to add  you to  unlimited super free access to Facebook, Twitter Linkedin Tik Tok and Instagram...is a free Wi-Fi and it last for 6 months???",Yess
How it donee,Please tell me
I am ready,send me your facebook number let me use it to Activate it for you
0788451370,
Yes,You are now connected on Messenger
Hy,hi
You are now connected on Messenger,Hy
Hy,How are you
You are now connected on Messenger,Hy
Hi,How are you
You are now connected on Messenger,You are now connected on Messenger
hi,hi
Hu,You are now connected on Messenger
Hey,Hi
How are you,Good and you
Yeah,None
Where do you live,I am here in Korea
Ok,iLike a korean
Okay,Give me funny pictures
"Where are you from, ?",In Canada
In Canada,Okay
Give me funny pictures,Hi
Hy,HI
You are now connected on Messenger,You are now connected on Messenger
Hy,Bitese
Sw mn,Uri kuri rafiki
Wp mn,Hariyo Wi-Fi
Harafunze,Barafungura umuganda urangiye
Yg mn,Umzt pt
Fresh woe,Nange 2
Hehe,Hehe urimo kuvuga
Ndi rafiki,Rahira
Nukuri,Yibe nawe uturanye na Rafiki Hariyo Connection nyinshi
Hhhh urababaje mn,Kubera
"Utuyehe, None",Biryogo
Nago rari kure mn,Kubera ngwino undebe tujyane ndakugurira me2u
Sw ndaje mn,Nugera Onatracom umbwire
Sw,Turasubirana Rafiki
Nda downloading ama Game,Ushobora kuhagera ryari
8:00,Hoya hoya ubwo twgerayo ryari inkaza ryari
Byihorere,Cg uze unsure gusa
Ndaza kugusura,Bisanzwe ark ntabyo gusubirayo
Yg,Hi
Hy,Wanze kuza
Urihe,Hom
Sw,wakoze home work
Yg,nange
None,Fack
Noneho nawugukira watiye aga phone nl,Hello
Ejo Ni shuri,Hy
Urishimye,WP Isumayi
Isumayi ninde,Sorry
None,Umzgt
Nez,Sw
Naho rk not nryam,Naho rk nrym
Sw,Axigariwr
Rekanryame,"Hhhhhhh sw, Vp pt"
sw,hy mn
Bitese,Hello
Hello mn,umezute se
Vip,Poa
Bimez gut c,Nez ntrb
Okay home nihe x,Kicukir
Okay good,Ye ya
Uzansure x,Nzareba
Nrb kbxa,Sw
Oky,You are now connected on Messenger
Hi,Ey
Hw r u,"Fyn, U?"
Fyn,You are now connected on Messenger
Hi,You are now connected on Messenger
hy ikmod,Hhhhhhh
You are now connected on Messenger,You are now connected on Messenger
You are now connected on Messenger,You are now connected on Messenger
You are now connected on Messenger,Hi
Hi,hi
Hi,Kenia uragenda ryari
Hello,Hello
Warqtsinze x,Yg
Byz,Hu
Hi,Uzigahe S4
Sinz kbr,Nzagusure
Hhh nnx ntuzasubir esb,Nzahasubira
Oky,Hello
Hello,Umzt
Nez oe x,Saw
Ojy byz,Wht
Ntcy,Hhhhh
You are now connected on Messenger,You are now connected on Messenger
Hy,Hai morning
How are u,Yes
"t do, you will not be contacted..""",You are girl or boy
Hi,"Hi Wiz , thanks for messaging me Sweetheart, I Have Check Your Profile Picture And I Like You..But To Give You My Whatsapp Number Kindly Share My Picture To 6 Active Groups Now, I Love U, To Know If You Are Fake Or Real, am waiting Okay"
Ok,"t know your personal"""
You are now connected on Messenger,yoo many vp
Swsw pt,give me your number then call you by tigo
"0738545215, None",so cool
"Kbx, Wampaye ubu inite x mn",hhhhhhhhhhh ntabwo
Wllh,You are now connected on Messenger
"ve made public.""",Get Started
"t fool us, if you don",Bite mn
Poa 2 Woec,Nang mn
Ok,Bite mn
Ni saw,Ok
Pt Vp,You are now connected on Messenger
amakuru,You are now connected on Messenger
Hi,vp sha
Vp,Poa
Kowazimy x,Wp
Yg,Sugifat phone
"Oyaaaa, Ndahar kbc",Rekrk
None,Saw pp
None,Aka ka nigga urakaz
Wp,Eeh
"Kuberaaaaz, ???",Ngo nzagasure nakubonye muri inshuti
"Shn ntago muz kbx, Yakubwiyek anzi x, ???",Hoy
Nnx,Poa
Woec,Shn nang n frsh kbx
Cyn,Uhagaz agacy
Kah x shaa,Kuri red blue jd
Aaaah byabind x,Yg
Um pic ya petfrere wae,Mn project bafite nindende bya barimo no gushaka aband bantu
Uma pic ya petfrere,Ntay mfte
Nukambeshy,Mufotore
Ndaza kubikora ntrb,Saw
None,None
Uwo ni petfrere,Ygo mn
Murasa photocopy,Kk x?
Serie,Umuhungu vp
Poa pp,Bmz bt
Biragend gak gak kbx boi,Yibe nae
Eh?,Ejo banjyibye 4ne
Eh ihangan,Ntrb brd
Ark,Niga touche
None,Nang niy mft mn
Niyo ukoresh,None
Cykz nanjye Nik nakoreshaag,You are now connected on Messenger
Usigaye wifotozanya na abasitari,Cyane Man
